City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Ampanihy,MG,2022-01-30 19:35:38,-24.7,44.75,70.79,71,84,10.02
100,Kungurtug,RU,2022-01-30 19:35:38,50.5994,97.5228,-22.59,98,29,1.59
101,Medicine Hat,CA,2022-01-30 19:32:01,50.0501,-110.6683,47.91,50,100,1.99
102,Lorengau,PG,2022-01-30 19:35:39,-2.0226,147.2712,79.09,83,100,11.14
103,Labuhan,ID,2022-01-30 19:35:39,-6.8844,112.2051,77.68,88,100,6.44
104,Mitsamiouli,KM,2022-01-30 19:35:39,-11.3847,43.2844,80.78,74,7,3.4
105,Kabo,CF,2022-01-30 19:35:39,7.6994,18.629,76.91,18,100,5.55
106,Svetlograd,RU,2022-01-30 19:35:40,45.3353,42.8547,33.78,87,96,9.13
107,Salta,AR,2022-01-30 19:35:40,-24.7859,-65.4117,82.99,47,40,5.01
108,Asilah,MA,2022-01-30 19:35:40,35.465,-6.0348,58.96,81,1,10.22
109,Atuona,PF,2022-01-30 19:35:40,-9.8,-139.0333,77.85,76,18,14.23
110,Kikwit,CD,2022-01-30 19:35:41,-5.041,18.8162,75.79,69,100,1.03
111,Chokurdakh,RU,2022-01-30 19:35:41,70.6333,147.9167,-29.72,88,16,2.26
112,Jiaozuo,CN,2022-01-30 19:35:41,35.2397,113.2331,34.12,32,4,13.15
113,Portland,US,2022-01-30 19:35:31,45.5234,-122.6762,51.57,70,75,5.01
114,Kapaa,US,2022-01-30 19:35:42,22.0752,-159.319,75.47,70,20,5.01
115,Lashio,MM,2022-01-30 19:35:42,22.9333,97.75,45.91,87,0,1.77
116,Porbandar,IN,2022-01-30 19:35:42,21.6422,69.6093,67.66,75,0,9.37
117,Xingyi,CN,2022-01-30 19:35:43,24.1877,102.817,41.77,97,37,4.43
118,Belyy Yar,RU,2022-01-30 19:35:43,53.6039,91.3903,-20.15,80,100,2.24
119,Vila,PT,2022-01-30 19:35:43,42.0304,-8.1588,43.68,41,0,2.95
120,Baneh,IR,2022-01-30 19:35:43,35.9975,45.8853,23.76,98,99,4.38
121,Tuktoyaktuk,CA,2022-01-30 19:35:44,69.4541,-133.0374,-2.2,84,100,19.57
122,Ancud,CL,2022-01-30 19:35:44,-41.8697,-73.8203,64.42,55,42,12.41
123,Beloha,MG,2022-01-30 19:35:44,-25.1667,45.05,73.58,72,97,14.27
124,Roebourne,AU,2022-01-30 19:35:44,-20.7833,117.1333,84.13,57,57,18.34
125,San Jeronimo,PE,2022-01-30 19:35:45,-11.9472,-75.2829,56.05,68,100,3.09
126,Manado,ID,2022-01-30 19:35:45,1.487,124.8455,75.97,94,40,0.0
127,Port Lincoln,AU,2022-01-30 19:35:45,-34.7333,135.8667,65.75,86,2,8.57
128,Polyarnyy,RU,2022-01-30 19:35:46,69.1989,33.4478,9.84,96,99,8.79
129,Ribeira Grande,PT,2022-01-30 19:32:10,38.5167,-28.7,59.4,58,40,20.71
130,New Norfolk,AU,2022-01-30 19:35:38,-42.7826,147.0587,58.66,76,5,2.13
131,Oranjestad,AW,2022-01-30 19:35:46,12.524,-70.027,78.75,83,75,11.5
132,Huangmei,CN,2022-01-30 19:35:46,30.1924,116.025,35.65,84,99,3.42
133,Biltine,TD,2022-01-30 19:35:46,14.5333,20.9167,67.68,14,1,10.42
134,Kaitangata,NZ,2022-01-30 19:35:37,-46.2817,169.8464,59.45,84,19,2.82
135,Bandarbeyla,SO,2022-01-30 19:31:54,9.4942,50.8122,75.67,74,77,15.1
136,Porto Novo,BJ,2022-01-30 19:36:47,6.4965,2.6036,84.02,63,90,4.36
137,Alghero,IT,2022-01-30 19:36:47,40.5589,8.3181,55.49,76,75,6.91
138,Saint-Francois,FR,2022-01-30 19:36:47,46.4154,3.9054,42.24,87,100,3.44
139,Sumkino,RU,2022-01-30 19:36:48,58.1108,68.3244,-2.54,99,100,4.05
140,Taber,CA,2022-01-30 19:36:48,49.8167,-112.1518,47.71,39,100,16.84
141,Bergama,TR,2022-01-30 19:36:48,39.1207,27.1805,45.66,83,28,0.51
142,Ostrovnoy,RU,2022-01-30 19:36:21,68.0531,39.5131,2.71,98,99,7.99
143,Arraial Do Cabo,BR,2022-01-30 19:36:49,-22.9661,-42.0278,85.96,70,40,11.5
144,Hobyo,SO,2022-01-30 19:36:49,5.3505,48.5268,76.87,77,97,17.34
145,Sur,OM,2022-01-30 19:32:53,22.5667,59.5289,71.91,64,0,1.61
146,Yeppoon,AU,2022-01-30 19:36:49,-23.1333,150.7333,73.18,84,26,9.64
147,Anloga,GH,2022-01-30 19:36:49,5.7947,0.8973,84.42,62,100,8.61
148,Laguna,US,2022-01-30 19:32:17,38.421,-121.4238,60.66,67,0,1.99
149,Quimper,FR,2022-01-30 19:36:50,48.0,-4.1,50.61,100,100,5.75
150,Torbay,CA,2022-01-30 19:36:50,47.6666,-52.7314,45.37,80,100,32.21
151,Lata,PT,2022-01-30 19:36:50,40.1629,-8.3327,54.01,50,91,2.75
152,Bogotol,RU,2022-01-30 19:36:51,56.2078,89.5342,-6.16,92,53,6.51
153,Sao Filipe,CV,2022-01-30 19:32:30,14.8961,-24.4956,71.76,71,100,14.16
154,Karachi,PK,2022-01-30 19:35:03,24.9056,67.0822,69.62,60,40,4.61
155,Longyearbyen,SJ,2022-01-30 19:36:51,78.2186,15.6401,8.44,66,0,19.57
156,Leningradskiy,RU,2022-01-30 19:36:51,69.3833,178.4167,-10.5,93,100,1.57
157,Bilibino,RU,2022-01-30 19:36:52,68.0546,166.4372,-11.76,94,84,5.17
158,Borgarnes,IS,2022-01-30 19:36:52,64.5383,-21.9206,27.64,65,100,30.87
159,Domoni,KM,2022-01-30 19:36:52,-12.2569,44.5319,79.18,81,10,5.21
160,Grand Forks,US,2022-01-30 19:32:42,47.9417,-97.4337,13.93,84,100,13.8
161,Henties Bay,NA,2022-01-30 19:36:52,-22.116,14.2845,66.85,80,100,6.15
162,Fez,MA,2022-01-30 19:36:26,34.0372,-4.9998,60.91,35,9,8.05
163,Luderitz,NA,2022-01-30 19:36:53,-26.6481,15.1594,68.14,81,88,3.6
164,Wembley,AU,2022-01-30 19:36:53,-31.9333,115.8,70.0,70,0,12.66
165,Upernavik,GL,2022-01-30 19:36:53,72.7868,-56.1549,-5.06,65,100,9.51
166,Xining,CN,2022-01-30 19:36:54,36.6167,101.7667,8.38,71,6,1.77
167,Ugoofaaru,MV,2022-01-30 19:36:54,5.6667,73.0,81.32,77,48,13.96
168,Cidreira,BR,2022-01-30 19:36:54,-30.1811,-50.2056,75.99,62,0,17.25
169,Ust-Nera,RU,2022-01-30 19:36:55,64.5667,143.2,-11.31,99,100,1.43
170,Pundaguitan,PH,2022-01-30 19:36:55,6.3711,126.1689,80.02,78,100,5.23
171,Karratha,AU,2022-01-30 19:36:55,-20.7377,116.8463,82.08,64,72,20.24
172,Jimenez,MX,2022-01-30 19:36:55,28.3333,-105.4,68.74,20,55,12.66
173,Manica,FR,2022-01-30 19:36:56,49.0,-1.1667,44.01,96,54,4.59
174,Yumen,CN,2022-01-30 19:36:56,40.2833,97.2,15.17,44,100,6.82
175,Cuamba,MZ,2022-01-30 19:36:56,-14.8031,36.5372,68.7,94,19,1.63
176,Normandin,CA,2022-01-30 19:36:56,48.8333,-72.5321,8.91,47,65,13.8
177,Yerbogachen,RU,2022-01-30 19:36:57,61.2767,108.0108,-14.51,100,93,3.09
178,Moyo,UG,2022-01-30 19:36:57,3.6609,31.7247,79.57,22,64,7.63
179,Hilo,US,2022-01-30 19:33:33,19.7297,-155.09,77.25,59,40,5.75
180,Cabo San Lucas,MX,2022-01-30 19:36:57,22.8909,-109.9124,83.52,66,20,5.75
181,Chicama,PE,2022-01-30 19:36:58,-7.8447,-79.1469,70.34,61,100,11.52
182,Faanui,PF,2022-01-30 19:36:58,-16.4833,-151.75,80.28,72,30,9.17
183,Jinchang,CN,2022-01-30 19:37:58,38.4953,102.1739,15.21,44,81,5.84
184,Aloleng,PH,2022-01-30 19:37:59,16.1307,119.7824,76.62,83,23,10.33
185,Montepuez,MZ,2022-01-30 19:37:59,-13.1256,38.9997,68.9,99,25,3.91
186,Te Anau,NZ,2022-01-30 19:35:30,-45.4167,167.7167,59.61,85,29,0.51
187,Orzu,TJ,2022-01-30 19:37:59,37.5593,68.8184,46.8,66,100,3.02
188,Prainha,BR,2022-01-30 19:37:59,-1.8,-53.48,79.52,79,91,4.36
189,Abu Samrah,SY,2022-01-30 19:38:00,35.3029,37.1841,44.08,70,69,5.21
190,Rivers,CA,2022-01-30 19:38:00,50.0308,-100.2403,14.95,93,85,6.64
191,Shenjiamen,CN,2022-01-30 19:38:00,29.9576,122.298,41.07,63,4,12.97
192,Mazamari,PE,2022-01-30 19:38:00,-11.3258,-74.5308,70.23,99,100,1.05
193,Banda Aceh,ID,2022-01-30 19:38:01,5.5577,95.3222,76.37,83,78,7.72
194,Buala,SB,2022-01-30 19:38:01,-8.145,159.5921,80.04,83,100,3.76
195,Monopoli,IT,2022-01-30 19:38:01,40.9559,17.2896,49.05,51,0,6.91
196,Petropavlovsk-Kamchatskiy,RU,2022-01-30 19:35:41,53.0452,158.6483,14.59,79,75,6.71
197,Tshikapa,CD,2022-01-30 19:38:02,-6.4167,20.8,73.56,84,100,2.53
198,Aleksandrovskoye,RU,2022-01-30 19:38:02,44.7142,43.0008,32.14,93,37,11.95
199,Skelleftea,SE,2022-01-30 19:38:02,64.7507,20.9528,12.56,100,40,3.44
200,Erenhot,CN,2022-01-30 19:38:03,43.6475,111.9767,6.58,93,100,15.79
201,Norman Wells,CA,2022-01-30 19:38:03,65.282,-126.8329,-30.96,61,75,2.3
202,Yangshe,CN,2022-01-30 19:38:03,31.8899,120.6052,34.03,82,9,1.01
203,Alugan,PH,2022-01-30 19:38:03,12.2188,125.4808,77.94,84,11,3.15
204,Dingle,PH,2022-01-30 19:38:04,10.9995,122.6711,74.79,93,52,3.56
205,Camacha,PT,2022-01-30 19:35:27,33.0833,-16.3333,61.56,82,40,19.57
206,Abu Dhabi,AE,2022-01-30 19:37:29,24.4667,54.3667,68.11,70,0,4.61
207,Olinda,BR,2022-01-30 19:38:04,-8.0089,-34.8553,83.93,74,40,10.36
208,Nemuro,JP,2022-01-30 19:38:04,43.3236,145.575,15.87,68,21,13.65
209,Sorokino,RU,2022-01-30 19:38:05,53.75,84.9167,-6.9,98,31,2.86
210,Talnakh,RU,2022-01-30 19:36:45,69.4865,88.3972,-14.31,96,79,8.81
211,Mahebourg,MU,2022-01-30 19:38:05,-20.4081,57.7,80.89,83,40,13.8
212,Port Elizabeth,ZA,2022-01-30 19:33:41,-33.918,25.5701,75.09,88,20,13.8
213,Tual,ID,2022-01-30 19:33:54,-5.6667,132.75,83.88,76,100,20.71
214,Neepawa,CA,2022-01-30 19:35:35,50.2289,-99.4664,16.81,90,100,8.84
215,Fukue,JP,2022-01-30 19:38:06,32.6881,128.8419,45.34,56,6,23.09
216,Carnarvon,AU,2022-01-30 19:38:06,-24.8667,113.6333,78.87,83,88,19.57
217,Labrea,BR,2022-01-30 19:38:06,-7.2586,-64.7981,78.82,91,100,1.95
218,Necochea,AR,2022-01-30 19:38:06,-38.5473,-58.7368,70.03,69,100,16.06
219,Monteagudo,BO,2022-01-30 19:38:07,-19.8167,-63.9833,87.58,26,8,8.43
220,Cayenne,GF,2022-01-30 19:38:07,4.9333,-52.3333,78.84,89,75,5.01
221,Boryslav,UA,2022-01-30 19:38:07,49.2867,23.4324,34.23,86,100,21.97
222,Ribeira Brava,PT,2022-01-30 19:38:08,32.65,-17.0667,66.13,53,1,10.2
223,Gornopravdinsk,RU,2022-01-30 19:38:08,60.05,69.9,-1.37,99,100,4.14
224,Port Hawkesbury,CA,2022-01-30 19:38:08,45.6169,-61.3485,28.9,64,75,11.01
225,Tigil,RU,2022-01-30 19:35:25,57.8,158.6667,29.8,73,100,19.37
226,Mount Gambier,AU,2022-01-30 19:34:03,-37.8333,140.7667,62.51,100,100,6.91
227,Touros,BR,2022-01-30 19:38:08,-5.1989,-35.4608,86.9,71,96,13.09
228,Novikovo,RU,2022-01-30 19:38:09,51.1537,37.8879,30.31,94,100,14.05
229,Salym,RU,2022-01-30 19:36:56,60.0625,71.4789,-2.69,100,100,3.87
230,Tsiroanomandidy,MG,2022-01-30 19:38:09,-18.7667,46.0333,71.06,86,69,1.12
231,Aklavik,CA,2022-01-30 19:39:09,68.2191,-135.0107,5.0,72,100,10.36
232,Surskoye,RU,2022-01-30 19:39:10,54.4821,46.7214,12.6,97,91,3.65
233,Castro,BR,2022-01-30 19:39:10,-24.7911,-50.0119,63.66,99,100,5.93
234,Prince Rupert,CA,2022-01-30 19:39:10,54.3161,-130.3201,37.49,87,100,8.05
235,Mehamn,NO,2022-01-30 19:39:11,71.0357,27.8492,32.18,63,79,22.41
236,Dongsheng,CN,2022-01-30 19:39:11,39.8161,109.9776,8.4,45,0,18.61
237,Ponta Do Sol,PT,2022-01-30 19:35:14,32.6667,-17.1,66.13,52,1,9.48
238,Turkistan,KZ,2022-01-30 19:39:11,43.0,68.0,28.9,56,9,7.2
239,Gat,IL,2022-01-30 19:39:11,31.61,34.7642,52.39,100,0,2.59
240,Antofagasta,CL,2022-01-30 19:35:43,-23.65,-70.4,71.22,66,9,10.69
241,Jalu,LY,2022-01-30 19:39:12,29.0331,21.5482,55.11,60,61,15.97
242,Hithadhoo,MV,2022-01-30 19:39:12,-0.6,73.0833,81.61,70,100,7.78
243,Puerto Escondido,MX,2022-01-30 19:39:12,15.85,-97.0667,85.03,70,0,6.91
244,Zlocieniec,PL,2022-01-30 19:39:13,53.5329,16.0113,35.69,66,7,18.3
245,Tukrah,LY,2022-01-30 19:39:13,32.5341,20.5791,54.5,69,93,20.11
246,Shitanjing,CN,2022-01-30 19:39:13,39.2342,106.3439,11.14,34,0,4.32
247,Mithi,PK,2022-01-30 19:39:13,24.7318,69.7981,67.37,78,0,9.91
248,Coihaique,CL,2022-01-30 19:39:14,-45.5752,-72.0662,59.61,45,31,12.71
249,Traralgon,AU,2022-01-30 19:39:14,-38.1833,146.5333,65.84,97,99,1.88
250,Marsa Matruh,EG,2022-01-30 19:39:14,31.3525,27.2453,52.0,82,40,14.97
251,Maureni,RO,2022-01-30 19:39:15,45.4039,21.5025,40.57,64,99,16.08
252,Ofunato,JP,2022-01-30 19:39:15,39.0717,141.7167,24.98,70,24,10.33
253,Nata,PA,2022-01-30 19:39:15,8.3333,-80.5167,87.67,42,18,21.32
254,Geraldton,AU,2022-01-30 19:39:15,-28.7667,114.6,73.81,83,100,11.5
255,Barajevo,RS,2022-01-30 19:39:16,44.5789,20.4158,41.52,69,10,9.37
256,Imperia,IT,2022-01-30 19:39:16,43.9667,7.7833,46.98,85,4,2.91
257,Riobamba,EC,2022-01-30 19:39:16,-1.6667,-78.6333,61.27,75,100,4.0
258,Northam,GB,2022-01-30 19:39:16,51.0333,-4.2167,49.39,96,93,24.81
259,Plettenberg Bay,ZA,2022-01-30 19:39:17,-34.0527,23.3716,69.78,94,81,3.8
260,Forbesganj,IN,2022-01-30 19:39:17,26.3,87.25,55.72,61,0,2.59
261,Coolum Beach,AU,2022-01-30 19:39:17,-26.5333,153.1,74.1,99,54,8.52
262,Vitim,RU,2022-01-30 19:39:18,59.4511,112.5578,-18.2,100,94,2.66
263,Cabedelo,BR,2022-01-30 19:39:18,-6.9811,-34.8339,86.67,70,51,13.8
264,Bambous Virieux,MU,2022-01-30 19:39:18,-20.3428,57.7575,80.85,83,40,13.8
265,Dalby,AU,2022-01-30 19:39:18,-27.1833,151.2667,64.98,96,77,5.79
266,Digras,IN,2022-01-30 19:39:19,20.1167,77.7167,66.33,24,0,2.55
267,Severomuysk,RU,2022-01-30 19:39:19,56.1481,113.4267,-22.67,97,82,3.36
268,Vredendal,ZA,2022-01-30 19:39:19,-31.6683,18.5012,79.29,39,100,5.99
269,Duku,NG,2022-01-30 19:39:19,11.2361,4.9073,79.75,9,100,10.74
270,Yaguaron,PY,2022-01-30 19:39:20,-25.6,-57.3,98.55,13,0,3.85
271,Taloda,IN,2022-01-30 19:39:20,21.5667,74.2167,67.24,26,0,3.65
272,Shieli,KZ,2022-01-30 19:39:20,44.1667,66.75,25.59,85,34,6.73
273,Manokwari,ID,2022-01-30 19:39:21,-0.8667,134.0833,77.18,74,100,8.12
274,Haines Junction,CA,2022-01-30 19:39:21,60.7522,-137.5108,8.55,66,98,10.36
275,Anadyr,RU,2022-01-30 19:39:21,64.75,177.4833,-19.7,75,40,4.0
276,Atambua,ID,2022-01-30 19:39:21,-9.1061,124.8925,73.83,91,79,5.59
277,Pevek,RU,2022-01-30 19:40:16,69.7008,170.3133,-12.41,96,100,3.44
278,Armidale,AU,2022-01-30 19:40:22,-30.5167,151.65,58.8,94,20,2.46
279,Macas,EC,2022-01-30 19:40:22,-2.3167,-78.1167,73.15,83,75,4.61
280,Fecamp,FR,2022-01-30 19:40:22,49.7579,0.3746,45.48,87,100,11.25
281,Eyl,SO,2022-01-30 19:40:23,7.9803,49.8164,74.91,76,99,15.5
282,Sola,VU,2022-01-30 19:40:23,-13.8833,167.55,80.1,82,100,15.1
283,Dukat,RU,2022-01-30 19:40:23,62.55,155.55,-11.72,98,73,5.79
284,Lavrentiya,RU,2022-01-30 19:40:23,65.5833,-171.0,-5.39,89,4,4.7
285,Bad Salzungen,DE,2022-01-30 19:40:24,50.8167,10.2333,40.21,62,35,1.01
286,Merauke,ID,2022-01-30 19:40:24,-8.4667,140.3333,76.95,86,99,4.74
287,Sangar,RU,2022-01-30 19:40:24,63.9242,127.4739,-35.19,99,35,2.46
288,Avera,US,2022-01-30 19:40:25,33.194,-82.5271,58.75,37,2,17.11
289,Kousseri,CM,2022-01-30 19:40:25,12.0769,15.0306,75.16,11,53,11.5
290,Quilali,NI,2022-01-30 19:40:25,13.567,-86.026,80.28,48,85,10.92
291,Hofn,IS,2022-01-30 19:37:09,64.2539,-15.2082,26.62,48,0,23.96
292,Asau,RO,2022-01-30 19:40:25,46.4333,26.4,40.75,72,99,21.68
293,Quatre Cocos,MU,2022-01-30 19:38:49,-20.2078,57.7625,80.71,83,100,17.09
294,Mayor Pablo Lagerenza,PY,2022-01-30 19:40:26,-19.9309,-60.7718,99.36,22,0,6.42
