City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Lebu,CL,-37.6167,-73.65,63.46,75,0,18.19,clear sky
80,Koungou,YT,-12.7336,45.2042,83.91,79,0,8.05,light rain
81,Paamiut,GL,61.994,-49.6678,9.05,69,100,14.56,overcast clouds
82,Kahului,US,20.8947,-156.47,79.97,66,0,1.99,clear sky
83,Nakasongola,UG,1.3089,32.4564,75.6,42,100,2.59,overcast clouds
84,Nogent-Le-Rotrou,FR,48.3333,1.0,35.6,88,6,6.42,clear sky
85,Port Augusta,AU,-32.5,137.7667,64.54,39,26,5.57,scattered clouds
86,Hofn,IS,64.2539,-15.2082,28.42,59,20,19.57,few clouds
87,Kecel,HU,46.5253,19.2519,36.93,80,15,1.36,few clouds
88,Bukachacha,RU,52.9833,116.9167,-7.49,95,100,4.18,overcast clouds
89,Grootfontein,NA,-19.5667,18.1167,71.17,73,40,0.0,light thunderstorm
90,Puerto Madryn,AR,-42.7692,-65.0385,64.02,60,98,26.69,overcast clouds
91,Acarau,BR,-2.8856,-40.12,82.11,72,91,13.82,overcast clouds
92,Albany,US,42.6001,-73.9662,25.92,87,100,1.99,snow
93,Carnarvon,AU,-24.8667,113.6333,78.87,61,81,10.36,broken clouds
94,Chokurdakh,RU,70.6333,147.9167,-31.11,100,67,2.21,broken clouds
95,East London,ZA,-33.0153,27.9116,68.72,84,100,7.81,light rain
96,Ponta Do Sol,PT,32.6667,-17.1,65.03,79,100,1.5,overcast clouds
97,Clyde River,CA,70.4692,-68.5914,-3.77,77,100,13.8,light snow
98,Jamestown,US,42.097,-79.2353,24.12,61,100,3.0,overcast clouds
99,Nome,US,64.5011,-165.4064,6.87,56,0,13.8,clear sky
100,Khislavichi,RU,54.1871,32.1582,-1.68,100,100,2.01,overcast clouds
101,Nikolskoye,RU,59.7035,30.7861,19.29,95,74,9.37,broken clouds
102,High Level,CA,58.5169,-117.136,-3.89,84,100,9.22,snow
103,Itacoatiara,BR,-3.1431,-58.4442,81.09,71,83,5.17,broken clouds
104,Pasighat,IN,28.0667,95.3333,57.65,85,100,5.55,overcast clouds
105,Bredasdorp,ZA,-34.5322,20.0403,64.27,59,5,11.5,clear sky
106,Port Antonio,JM,18.18,-76.4612,84.11,72,28,10.49,scattered clouds
